year,country,temperature(Celsius)
1985, Lithuania,4.956546666666666
1986, Lithuania,6.105289166666668
1987, Lithuania,4.684831666666667
1988, Lithuania,6.760013333333333
1989, Lithuania,8.243434166666669
1990, Lithuania,7.988204166666667
1991, Lithuania,7.158519166666665
1992, Lithuania,7.556584166666667
1993, Lithuania,6.416595000000001
1994, Lithuania,6.907822500000001
1995, Lithuania,7.080841666666665
1996, Lithuania,5.598332500000001
1997, Lithuania,6.81497
1998, Lithuania,6.728209166666666
1999, Lithuania,7.785445833333333
2000, Lithuania,8.164232499999999
2001, Lithuania,7.133449166666666
2002, Lithuania,7.8137125
2003, Lithuania,6.900132500000001
2004, Lithuania,6.947184166666666
2005, Lithuania,6.819021666666667
2006, Lithuania,7.417224166666667
2007, Lithuania,7.870829166666666
2008, Lithuania,8.251535000000002
2009, Lithuania,7.189378333333335
2010, Lithuania,6.394191666666667
2011, Lithuania,7.7266716666666655
2012, Lithuania,6.857411666666668
2013, Lithuania,7.591351666666667
2014, Lithuania,7.922554999999999
2015, Lithuania,8.484947499999999
2016, Lithuania,7.759751666666667
1985, Finland,-0.6460866666666666
1986, Finland,1.0290308333333336
1987, Finland,-0.26899916666666646
1988, Finland,1.6815274999999996
1989, Finland,3.5168883333333327
1990, Finland,2.8240358333333333
1991, Finland,2.1579808333333337
1992, Finland,2.5760791666666663
1993, Finland,1.6301633333333332
1994, Finland,1.6050666666666673
1995, Finland,2.196935
1996, Finland,1.5194283333333332
1997, Finland,2.087333333333333
1998, Finland,1.0852900000000003
1999, Finland,2.1597508333333337
2000, Finland,3.337543333333333
2001, Finland,1.909168333333333
2002, Finland,2.0130908333333326
2003, Finland,2.310938333333333
2004, Finland,2.4218433333333333
2005, Finland,3.080414166666667
2006, Finland,2.755181666666667
2007, Finland,2.935099166666666
2008, Finland,3.0419666666666667
2009, Finland,2.2796991666666666
2010, Finland,0.9631666666666656
2011, Finland,3.4055841666666673
2012, Finland,1.6795491666666662
2013, Finland,3.2710224999999995
2014, Finland,3.405781666666666
2015, Finland,3.5244233333333335
2016, Finland,3.1043774999999996
1985, Russia,-6.653095833333332
1986, Russia,-6.009111666666666
1987, Russia,-7.425739166666666
1988, Russia,-5.438170833333333
1989, Russia,-5.231295833333334
1990, Russia,-5.183365833333333
1991, Russia,-5.404179166666668
1992, Russia,-6.110681666666667
1993, Russia,-5.713026666666667
1994, Russia,-6.100014166666668
1995, Russia,-4.285302499999999
1996, Russia,-5.843589166666667
1997, Russia,-5.429805833333333
1998, Russia,-6.491144166666667
1999, Russia,-5.984445833333332
2000, Russia,-5.672964999999999
2001, Russia,-5.633684999999999
2002, Russia,-5.254298333333334
2003, Russia,-4.959395833333335
2004, Russia,-5.7177491666666675
2005, Russia,-4.634284166666666
2006, Russia,-5.897105833333334
2007, Russia,-4.119611666666668
2008, Russia,-4.5035099999999995
2009, Russia,-5.769573333333333
2010, Russia,-5.6358675
2011, Russia,-4.433815833333333
2012, Russia,-4.989896666666666
2013, Russia,-4.806088333333334
2014, Russia,-4.8558441666666665
2015, Russia,-4.1686983333333325
